,Class ID,Class
0,2,hand
1,2,hand
2,-1,can't idntify
3,2,hand
4,2,hand
5,2,hand
6,2,hand
7,2,hand
8,2,hand
9,2,hand
10,0,air
11,0,air
12,0,air
13,0,air
14,0,air
15,0,air
16,0,air
17,0,air
18,0,air
19,0,air
20,3,knife
21,3,knife
22,3,knife
23,3,knife
24,3,knife
25,3,knife
26,3,knife
27,3,knife
28,3,knife
29,3,knife
30,1,book
31,1,book
32,1,book
33,1,book
34,1,book
35,1,book
36,1,book
37,1,book
38,1,book
39,1,book
40,4,plastic case
41,4,plastic case
42,4,plastic case
43,4,plastic case
44,4,plastic case
45,4,plastic case
46,4,plastic case
47,4,plastic case
48,4,plastic case
49,4,plastic case
